job,1,2,3,4,5,6,7,8,9,median,count
.net developer,0.9010470941969747,0.92534238265202,0.9459848702104037,0.9621732486312374,1.0,1.0370622826439881,1.044609274085155,1.0551233655276728,1.1264110919385821,102358.666665,12
analytics consultant,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,91485.0,1
application developer,0.8547417869271676,0.8877153470802958,0.927644578694242,0.9813055207983813,1.0,1.0224218512643748,1.0604124091246478,1.1245767626005347,1.2625861300064058,98349.0,69
business intelligence developer,0.8249638979890873,0.8989393596236053,0.9355345588474238,0.9857310933528631,1.0,1.0133651598138853,1.0554651453479034,1.1338541775557165,1.255261057106683,104795.16665,82
chief operating officer,0.7965883107364372,0.8772695410500793,0.9295520639644088,0.975668931019264,1.0,1.0210085238482414,1.0759808042739263,1.1733760096688095,1.262705226292962,190328.5,104
chief technology officer,0.8082698916764842,0.8541325184275652,0.9116062298514818,0.9718357256610561,1.0,1.0461312124151718,1.1625126501116232,1.3086916998308655,1.4770927392819002,187091.3333,99
cloud engineer,0.8713455005824612,0.9125351869606209,0.9301240961237728,0.9699657708195208,1.0,1.0025466846835354,1.0253531920056687,1.0507077058557344,1.0911123736659012,126111.6667,9
cyber security engineer,0.750994512247213,0.7967981600001052,0.8431000532148014,0.9544081895669044,1.0,1.0426650288237345,1.0860744558457969,1.1887375312314363,1.2612590379198159,126276.3333,45
data analyst,0.8295850155432567,0.8731780063114388,0.9353819541680223,0.9758076572173189,1.0,1.011388334680978,1.0609379944944852,1.129290078507831,1.230055333003788,95316.833335,128
data engineer,0.8206687933660399,0.886970262193905,0.9187846129548565,0.9771400189690765,1.0,1.027877437687251,1.089227666118099,1.137767878299492,1.2703647964512506,110746.6667,97
data scientist,0.7122466482033006,0.8712796747608023,0.8995816977654425,0.9610155745666182,1.0,1.032666592557575,1.1409776542457661,1.264682428713927,1.3682316608701472,129900.1667,80
director of engineering,0.7046261193271637,0.817337957963757,0.9125765900249139,0.9801000023525277,1.0,1.0162329149196159,1.0904854609911034,1.1500035862722604,1.2393860532980974,162663.3333,141
director of information technology,0.8759503754582245,0.9285136604599915,0.9617319035112641,0.9925627309745889,1.0,1.003095686279945,1.0696225463768216,1.1703731745081667,1.3216787820410651,144307.0,34
engineer manager,0.6427697490766122,0.8003827311819676,0.894529393758611,0.9637232092072806,1.0,1.0390143911914305,1.1016126763261758,1.2008665036315656,1.3298162892112226,136083.3333,167
frontend developer,0.8216759769828313,0.882202216286115,0.9284257888890267,0.9774579215664893,1.0,1.0239745257831812,1.0657240287092535,1.1261952963252952,1.2922892258408492,91713.66667,95
frontend software engineer,0.8466263187319781,0.9055653732135208,0.9507520703406652,0.9910692762804895,1.0,1.0165560038274069,1.0387853258615674,1.053234717576722,1.24410246097828,94029.33333,23
information technology manager,0.7055612864183441,0.8230096556198067,0.8715574209541082,0.9709982417413413,1.0,1.0211313532642559,1.0676806148580298,1.1119199042366639,1.1591977488592808,136852.3333,75
ios developer,0.7977530624040212,0.8455292567229472,0.8988732130529086,0.9691525322793065,1.0,1.025230598208725,1.0542203124917757,1.0917439750666282,1.1707525362304398,109877.33335,36
it developer,0.8029378428199346,0.8571436042995665,0.9134243960388938,0.9678961441302915,1.0,1.0250893970587576,1.0751660174094113,1.1142221314369096,1.2162238293980787,111534.5,84
it support engineer,0.8109938620830219,0.8837640525046279,0.9332242232956148,0.9812888475094705,1.0,1.0477566027994702,1.1091591168060169,1.1426353761999044,1.2343552694651154,81569.0,63
java developer,0.8858541796722368,0.9413624280746367,0.9652030627551382,0.9889612217961714,1.0,1.0145968885731045,1.0478693227162523,1.089076256195846,1.1738754385660102,96493.166665,74
junior data scientist,0.9375846538391395,0.9554176098850997,0.9732505659310597,0.99108352197702,1.0,1.00891647802298,1.0267494340689403,1.0445823901149003,1.0624153461608605,87980.833335,2
junior director of engineering,0.9787855070634712,0.9848467907596223,0.9909080744557733,0.9969693581519244,1.0,1.0030306418480754,1.0090919255442266,1.0151532092403777,1.0212144929365288,108076.66665,2
junior engineer manager,0.8189743339921467,0.8706959528515333,0.92241757171092,0.9741391905703066,1.0,1.0311243813956565,1.09337314418697,1.1556219069782834,1.217870669769597,88976.33333,3
junior senior engineer,0.9627312699959762,0.9733794785685546,0.9840276871411326,0.994675895713711,1.0,1.005200856931576,1.0156025707947278,1.0260042846578799,1.0364059985210319,91956.0,3
junior software engineer,0.8331313439871896,0.8735428800864559,0.9323348224632378,0.9730055263727315,1.0,1.0220870654362564,1.0894856170584828,1.121544118340075,1.3318448270350511,89388.66667,73
machine learning engineer,0.7080680541379353,0.8371707005888254,0.8756204422695166,0.9591540026377529,1.0,1.0441351445937608,1.0853384033831226,1.1718278069404167,1.2414540583516247,119135.5,48
mobile developer,0.780293814833335,0.9258049091902301,0.9608386269160502,0.9854408663536498,1.0,1.0062460483976434,1.051801115382354,1.0947306592677202,1.1580384973401459,103852.3333,33
principal cloud engineer,0.885912206734999,0.9130803868347689,0.9458724154754238,0.9797338052791835,1.0,1.025211814901395,1.1112123946835388,1.2634684806846705,1.4314238822975667,89110.83333,52
principal data scientist,0.7375275808834922,0.770595778003586,0.9710957705267104,0.9992511069007147,1.0,1.0667038471632895,1.129353321339836,1.1698702643970447,1.2003136825325704,136868.6667,21
principal engineer manager,0.8663574042729432,0.9239696594471349,0.9613818124816118,0.9931869617628089,1.0,1.01852701288287,1.0624776662196342,1.0918979127981046,1.1418902332642797,159510.3333,23
principal senior engineer,0.9014741439958472,0.9529055420847364,0.980810058945269,0.9894694242761617,1.0,1.017663659268341,1.0503377002977998,1.076400604479294,1.1135393687631057,146407.0,19
principal software architect,0.8640836832056734,0.9265259163962721,0.9518636533996925,0.993069845143195,1.0,1.0050170012076243,1.0120609471162327,1.0668788270348992,1.1249172089073582,167339.33335,20
principal software engineer,0.8266130005665238,0.9056040834173237,0.9441924733042167,0.9806937280554403,1.0,1.0177230799127817,1.0534980645968788,1.0974393345322555,1.1953524195832756,151803.0,109
principal technical lead,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,129854.6667,1
sas programmer,0.9273174352743858,0.9402262557324153,0.9535857285652564,0.9768577564303177,1.0,1.0231422435696824,1.0736956904250208,1.1254616547450582,1.1716742887714888,92782.16667,6
senior .net developer,0.9306176569895261,0.9537224503941139,0.9826775986836199,0.9906935188095708,1.0,1.0102947547126233,1.0254388473653757,1.0689129833214175,1.1485178723516902,117713.6667,29
senior application developer,0.898988939833781,0.9374779565370737,0.9778872039393364,0.9981596534541541,1.0,1.0350751060347088,1.091770139359903,1.1443714936198306,1.1876173765792162,110577.0,25
senior business intelligence developer,0.8889787277937132,0.9582947741355939,0.9792858055332108,0.9935441165373051,1.0,1.0004011397393175,1.001746115019576,1.0058045693079516,1.107173778430457,106259.6667,7
senior data analyst,0.8854406180518932,0.9472550363885666,0.9713686143998523,0.9881130682417466,1.0,1.0037302675218858,1.0213211510652884,1.0791231589494779,1.1823968108585592,94810.0,19
senior data scientist,0.8332453637188435,0.9253561217537281,0.9594344785446428,0.9848461373715436,1.0,1.0127049105744965,1.035430652602108,1.079311243970709,1.193904960954205,136095.6667,51
senior director of engineering,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,161776.6667,1
senior engineer,0.6588379354012315,0.8285517434244043,0.8905361638840773,0.9594627443559773,1.0,1.0240896541171163,1.1072736691241758,1.156934154124394,1.269230433327026,171752.5,146
senior engineering manager,0.800629867604702,0.8515691630810789,0.9097525529092394,0.964054260388623,1.0,1.0179459719160373,1.060085184734172,1.1341347930882404,1.2235032569733206,148324.83335,100
senior information technology manager,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,155311.3333,1
senior java developer,0.8755434659987242,0.9357015703386227,0.9626379407383371,0.99318874659527,1.0,1.0065679948441928,1.0304819060346473,1.0601454492446722,1.1269966933999451,118529.3333,45
senior member of technical,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,140735.6667,1
senior security engineer,0.7974035041348028,0.9018424091931101,0.9400746542091264,0.9852894560707739,1.0,1.0068183380484026,1.0165166032613582,1.0719926329419707,1.1318929346904707,116459.8333,12
senior software architect,0.9186988491228519,0.9547856749531527,0.9689997592079765,0.9886916221643781,1.0,1.0007216300308905,1.0089985226306128,1.0178851233379593,1.0946891448525509,156359.0,9
senior software developer,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,113738.0,1
senior software engineer,0.8530576833992688,0.9072416810776166,0.9544999205729308,0.9854219521698855,1.0,1.0163191305368693,1.0455528344373026,1.1050529381803194,1.2103162888596726,136636.6667,112
senior software manager,0.8701667770416581,0.8949184951587678,0.930470765662992,0.9768235885543305,1.0,1.0065700554796855,1.0197101664390562,1.033701285366476,1.0485434122619446,146003.3333,5
senior system engineer,0.8268095006189237,0.9254094367854666,0.9407614264377484,0.9769631968831752,1.0,1.03649404562053,1.069833537749825,1.1676994273371843,1.2405539783400616,99221.66667,37
senior systems engineer,0.8515547540609824,0.9143181241579158,0.9481224762016404,0.9867200160627071,1.0,1.0114840032999455,1.0585441555399338,1.1019469756556513,1.2408315401957726,110269.3333,55
senior web developer,0.8637239696984521,0.916249842567663,0.9676427444312898,0.9939443472294968,1.0,1.019467361308831,1.071750347195802,1.1844967630909613,1.295985947940676,110991.3333,55
site reliability engineer,0.718701402541253,0.8540774693324289,0.898552580351311,0.9877019208376231,1.0,1.0199924346806384,1.063093503395785,1.1215507100496729,1.190671014411599,118961.66665,52
software architect,0.7344667484785137,0.8910567641928097,0.9476423504287989,0.9813400908967672,1.0,1.0120097234658496,1.044117751981678,1.113574731554877,1.2216505003692235,140159.0,88
software developer,0.8137432931603257,0.8976860021988742,0.9662127291997448,0.9881677132174569,1.0,1.029378851754676,1.0710666652892176,1.1358360607792557,1.2436383198343335,107384.5,108
software engineer,0.7434206317143018,0.8561997089825332,0.9230765645589777,0.9824985798385609,1.0,1.014498281066754,1.0644471398005146,1.1493318286141905,1.2727072394117227,124980.3333,175
software engineer in test,0.6878007807281734,0.7831919502131532,0.8344990608306941,0.868942675862322,1.0,1.011150280572839,1.0457503086193358,1.0840197533634222,1.1581700161375228,115879.0,15
software engineer intern,0.9441199663674751,0.9600856902624822,0.9760514141574893,0.9920171380524965,1.0,1.0079828619475035,1.0239485858425108,1.0399143097375176,1.055880033632525,117817.5,2
software engineering manager,0.8148105480630875,0.884822338542069,0.949058293576733,0.9871956146965531,1.0,1.0105352044872582,1.0465706682405183,1.0890720494189252,1.1738472535759836,146299.1667,82
software manager,0.7805822028376825,0.8900963327727719,0.9497138808002289,0.982923872179147,1.0,1.0201275027034553,1.0506724808794126,1.1223332218651307,1.2763803874305952,118088.83335,66
software quality assurance engineer,0.7963776394147482,0.8573763254538151,0.9114012403336765,0.9694198950387908,1.0,1.0354777092068594,1.0712385032262925,1.156299011461498,1.2658255712546134,99572.5,78
software test engineer,0.828790079665577,0.8527097153448866,0.8766293510241963,0.9552309838640304,1.0,1.0447690161359695,1.1406681654702688,1.2683729001163688,1.3960776347624688,106241.166685,4
solutions architect,0.8358331685781608,0.8977869952615187,0.9380501891442821,0.9762864851758578,1.0,1.0217821642236287,1.0734112456859575,1.1065194722377458,1.2236441389606976,124502.66665,98
technical lead,0.7489615793686977,0.8296334098917629,0.9068243568937245,0.9671938834993554,1.0,1.0554617945381948,1.0925684136443137,1.1755950435682323,1.2962200627745637,116924.3333,89
web developer,0.8363367527058633,0.8919042932596734,0.9435545094811116,0.9779332060156697,1.0,1.012587504062274,1.0589838371296905,1.1202563555286071,1.3048372084235715,85948.333335,104
